blue cheese	TOPPING(blue_cheese)
cheese	TOPPING(cheddar)
cheese slice	TOPPING(cheddar)
cheese slices	TOPPING(cheddar)
cheddar cheese	TOPPING(cheddar)
cheddar	TOPPING(cheddar)
onion	TOPPING(onion)
onions	TOPPING(onion)
lettuce	TOPPING(lettuce)
spread	TOPPING(spread)
tomato	TOPPING(tomato)
tomatoes	TOPPING(tomato)
pickle	TOPPING(pickle)
pickles	TOPPING(pickle)
ketchup	TOPPING(ketchup)
mustard	TOPPING(mustard)
mustard sauce	TOPPING(mustard)
mayo	TOPPING(mayonnaise)
mayonnaise sauce	TOPPING(mayonnaise)
mayonnaise	TOPPING(mayonnaise)
jalapenos	TOPPING(jalapenos)
peppers	TOPPING(jalapenos)
bacon	TOPPING(bacon)
all toppings	TOPPING(all_toppings)
all the toppings	TOPPING(all_toppings)
everything	TOPPING(all_toppings)
